Customer_ID,Order_ID,Order_Date,Ship_Date,Ship_Mode,Product_ID,Quantity
MG-17875,CA-2014-103744,2014-02-23,2014-02-27,Standard Class,OFF-LA-10004425,3
MG-17875,CA-2014-103744,2014-02-23,2014-02-27,Standard Class,OFF-BI-10000320,3
DE-13255,CA-2014-109134,2014-11-05,2014-11-10,Standard Class,FUR-FU-10000320,6
MD-17350,CA-2014-114251,2014-11-05,2014-11-10,Standard Class,FUR-FU-10001468,2
MD-17350,CA-2014-114251,2014-11-05,2014-11-10,Standard Class,OFF-BI-10003684,2
MD-17350,CA-2014-114251,2014-11-05,2014-11-10,Standard Class,TEC-AC-10004864,2
MD-17350,CA-2014-114251,2014-11-05,2014-11-10,Standard Class,OFF-ST-10003716,6
MD-17350,CA-2014-114251,2014-11-05,2014-11-10,Standard Class,TEC-AC-10001101,5
SZ-20035,CA-2014-132227,2014-11-04,2014-11-10,Standard Class,OFF-BI-10000962,4
SR-20740,CA-2014-133634,2014-11-05,2014-11-10,Standard Class,TEC-AC-10002550,3
VB-21745,CA-2015-121132,2015-07-17,2015-07-24,Standard Class,OFF-LA-10002368,3
VB-21745,CA-2015-121132,2015-07-17,2015-07-24,Standard Class,OFF-FA-10004248,4
FP-14320,CA-2016-111213,2016-04-01,2016-04-05,Standard Class,OFF-SU-10000946,8
FP-14320,CA-2016-111213,2016-04-01,2016-04-05,Standard Class,FUR-CH-10000454,6
FP-14320,CA-2016-111213,2016-04-01,2016-04-05,Standard Class,OFF-BI-10004140,1
DB-12910,CA-2016-127985,2016-04-01,2016-04-05,Second Class,FUR-FU-10003274,4
ME-17320,CA-2016-159142,2016-04-04,2016-04-05,First Class,OFF-PA-10001776,3
ME-17320,CA-2016-159142,2016-04-04,2016-04-05,First Class,TEC-PH-10001448,3
TB-21175,CA-2016-161473,2016-04-01,2016-04-05,Standard Class,OFF-BI-10003305,3
TB-21175,CA-2016-161473,2016-04-01,2016-04-05,Standard Class,OFF-LA-10001297,2
TB-21175,CA-2016-161473,2016-04-01,2016-04-05,Standard Class,OFF-SU-10001574,3
KH-16630,CA-2016-100153,2016-12-13,2016-12-17,Standard Class,TEC-AC-10001772,4
JM-15265,CA-2016-105816,2016-12-11,2016-12-17,Standard Class,TEC-PH-10002447,5
JM-15265,CA-2016-105816,2016-12-11,2016-12-17,Standard Class,OFF-FA-10000304,7
SH-20395,CA-2016-113600,2016-12-15,2016-12-17,Second Class,OFF-BI-10000201,3
AP-10915,CA-2016-128412,2016-12-10,2016-12-17,Standard Class,OFF-BI-10001718,3
AP-10915,CA-2016-128412,2016-12-10,2016-12-17,Standard Class,OFF-PA-10001125,4
AP-10915,CA-2016-128412,2016-12-10,2016-12-17,Standard Class,OFF-AP-10000252,3
AP-10915,CA-2016-128412,2016-12-10,2016-12-17,Standard Class,OFF-AP-10002082,3
AP-10915,CA-2016-128412,2016-12-10,2016-12-17,Standard Class,TEC-AC-10003038,5
DS-13180,CA-2016-146325,2016-12-14,2016-12-17,First Class,FUR-CH-10001146,2
DS-13180,CA-2016-146325,2016-12-14,2016-12-17,First Class,OFF-ST-10001590,10
NS-18640,CA-2016-169824,2016-12-12,2016-12-17,Standard Class,OFF-SU-10000952,4
NS-18640,CA-2016-169824,2016-12-12,2016-12-17,Standard Class,OFF-AR-10000462,7
NS-18640,CA-2016-169824,2016-12-12,2016-12-17,Standard Class,FUR-FU-10004864,5
CA-12775,US-2016-132857,2016-12-11,2016-12-17,Standard Class,OFF-AR-10003251,3
ST-20530,CA-2017-101273,2017-08-27,2017-08-30,Second Class,OFF-AP-10000804,4
SE-20110,CA-2017-155047,2017-08-27,2017-08-30,First Class,OFF-AR-10003338,1
MR-17545,US-2017-139465,2017-08-27,2017-08-30,First Class,OFF-ST-10002352,8
